device,model,task,task_label,engine,num_requests,dataset,qps,avg_latency
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,30,D2,0.5,1029.93327
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,30,D2,1,1156.673557
h20,Qwen2.5-32B,code,CodeWriter,vLLM,20,D1,0.05,717.799367
h20,Qwen2.5-32B,code,CodeWriter,vLLM,20,D1,0.1,960.429436
h20,Qwen2.5-32B,code,CodeWriter,vLLM,20,D1,0.2,1022.059312
h20,Qwen2.5-32B,code,CodeWriter,vLLM,20,D1,0.5,1395.115572
h20,Qwen2.5-32B,code,CodeWriter,vLLM,20,D1,1,1496.539339
h20,Qwen2.5-32B,code,CodeWriter,vLLM,30,D2,0.05,920.0836
h20,Qwen2.5-32B,code,CodeWriter,vLLM,30,D2,0.1,1170.963655
h20,Qwen2.5-32B,code,CodeWriter,vLLM,30,D2,0.2,1521.661331
h20,Qwen2.5-32B,code,CodeWriter,vLLM,30,D2,0.5,1837.273305
h20,Qwen2.5-32B,code,CodeWriter,vLLM,30,D2,1,1903.740749
h20,Qwen2.5-32B,research,DeepResearch,vLLM,20,D1,0.05,496.1744
h20,Qwen2.5-32B,research,DeepResearch,vLLM,20,D1,0.1,601.767779
h20,Qwen2.5-32B,research,DeepResearch,vLLM,20,D1,0.2,768.332006
h20,Qwen2.5-32B,research,DeepResearch,vLLM,20,D1,0.5,840.307245
h20,Qwen2.5-32B,research,DeepResearch,vLLM,20,D1,1,978.506201
h20,Qwen2.5-32B,research,DeepResearch,vLLM,30,D2,0.05,715.547503
h20,Qwen2.5-32B,research,DeepResearch,vLLM,30,D2,0.1,882.865084
h20,Qwen2.5-32B,research,DeepResearch,vLLM,30,D2,0.2,1040.885184
h20,Qwen2.5-32B,research,DeepResearch,vLLM,30,D2,0.5,1166.559418
h20,Qwen2.5-32B,research,DeepResearch,vLLM,30,D2,1,1300.873598
h20,Qwen2.5-32B,code,CodeWriter,SunCake,20,D1,0.05,785.115152
h20,Qwen2.5-32B,code,CodeWriter,SunCake,20,D1,0.1,809.966588
h20,Qwen2.5-32B,code,CodeWriter,SunCake,20,D1,0.2,886.505692
h20,Qwen2.5-32B,code,CodeWriter,SunCake,20,D1,0.5,1043.006334
h20,Qwen2.5-32B,code,CodeWriter,SunCake,20,D1,1,1152.927575
h20,Qwen2.5-32B,code,CodeWriter,SunCake,30,D2,0.05,980.951919
h20,Qwen2.5-32B,code,CodeWriter,SunCake,30,D2,0.1,1042.181888
h20,Qwen2.5-32B,code,CodeWriter,SunCake,30,D2,0.2,1217.140428
h20,Qwen2.5-32B,code,CodeWriter,SunCake,30,D2,0.5,1390.900958
h20,Qwen2.5-32B,code,CodeWriter,SunCake,30,D2,1,1494.132678
h20,Qwen2.5-32B,research,DeepResearch,SunCake,20,D1,0.05,541.377592
h20,Qwen2.5-32B,research,DeepResearch,SunCake,20,D1,0.1,598.43478
h20,Qwen2.5-32B,research,DeepResearch,SunCake,20,D1,0.2,628.557619
h20,Qwen2.5-32B,research,DeepResearch,SunCake,20,D1,0.5,759.710301
h20,Qwen2.5-32B,research,DeepResearch,SunCake,20,D1,1,809.75994
h20,Qwen2.5-32B,research,DeepResearch,SunCake,30,D2,0.05,750.479398
h20,Qwen2.5-32B,research,DeepResearch,SunCake,30,D2,0.1,824.169679
h20,Qwen2.5-32B,research,DeepResearch,SunCake,30,D2,0.2,948.587069
h20,Qwen2.5-32B,research,DeepResearch,SunCake,30,D2,0.5,935.210087
h20,Qwen2.5-32B,research,DeepResearch,SunCake,30,D2,1,952.910852
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,20,D1,0.05,879.506061
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,20,D1,0.1,1044.044408
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,20,D1,0.2,1260.130874
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,20,D1,0.5,1486.601559
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,20,D1,1,1466.060438
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,30,D2,0.05,1133.265863
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,30,D2,0.1,1469.328965
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,30,D2,0.2,1886.038684
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,30,D2,0.5,2047.60853
h20,Qwen2.5-32B,code,CodeWriter,MoonCake,30,D2,1,1957.706935
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,20,D1,0.05,868.888685
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,20,D1,0.1,874.887161
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,20,D1,0.2,895.701092
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,20,D1,0.5,962.815436
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,20,D1,1,937.392472
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,30,D2,0.05,1057.359726
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,30,D2,0.1,1137.649463
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,30,D2,0.2,1199.697128
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,30,D2,0.5,1332.312925
h20,Qwen2.5-32B,research,DeepResearch,MoonCake,30,D2,1,1375.640178
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,20,D1,0.05,1504.905211
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,20,D1,0.1,1743.582175
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,20,D1,0.2,1936.816922
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,20,D1,0.5,2295.598689
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,20,D1,1,2396.698238
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,30,D2,0.05,1672.416996
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,30,D2,0.1,2136.365142
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,30,D2,0.2,2414.200267
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,30,D2,0.5,2732.64235
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM,30,D2,1,3075.6717
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,20,D1,0.05,619.938791
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,20,D1,0.1,772.446334
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,20,D1,0.2,833.805345
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,20,D1,0.5,990.905974
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,20,D1,1,1055.410761
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,30,D2,0.05,757.566063
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,30,D2,0.1,959.47357
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,30,D2,0.2,1054.246079
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,30,D2,0.5,1215.152379
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM,30,D2,1,1298.178604
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,20,D1,0.05,1400.06787
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,20,D1,0.1,1515.880951
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,20,D1,0.2,1666.466826
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,20,D1,0.5,1950.883501
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,20,D1,1,2083.337747
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,30,D2,0.05,1623.925891
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,30,D2,0.1,1796.183939
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,30,D2,0.2,1951.637566
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,30,D2,0.5,2280.806165
h20-72b,Qwen2.5-72B,code,CodeWriter,vLLM-Prefix,30,D2,1,2615.379164
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,20,D1,0.05,636.752633
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,20,D1,0.1,661.708803
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,20,D1,0.2,776.406632
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,20,D1,0.5,870.851549
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,20,D1,1,970.685888
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,30,D2,0.05,777.350515
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,30,D2,0.1,839.087801
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,30,D2,0.2,902.920207
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,30,D2,0.5,1074.711572
h20-72b,Qwen2.5-72B,research,DeepResearch,vLLM-Prefix,30,D2,1,1215.49899
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,20,D1,0.05,1449.561515
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,20,D1,0.1,1404.510362
